model,dataset_size,test_size,param_id,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,precision,recall,f1,roc_auc,colsample_bytree,learning_rate,subsample
XGBoost,2000,0.1,44,6.0,,,,200,0.99,0.99,0.99,0.99,0.9991,0.8,0.05,0.8
XGBoost,2000,0.1,45,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,0.8,0.05,1.0
XGBoost,2000,0.1,46,6.0,,,,300,0.99,0.99,0.99,0.99,0.9992,0.8,0.05,0.8
XGBoost,2000,0.1,47,6.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9990000000000001,0.8,0.05,1.0
XGBoost,2000,0.1,48,8.0,,,,100,0.99,0.99,0.99,0.99,0.9989,0.8,0.05,0.8
XGBoost,2000,0.1,49,8.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9986,0.8,0.05,1.0
XGBoost,2000,0.1,50,8.0,,,,200,0.99,0.99,0.99,0.99,0.9991,0.8,0.05,0.8
XGBoost,2000,0.1,51,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989,0.8,0.05,1.0
XGBoost,2000,0.1,52,8.0,,,,300,0.99,0.99,0.99,0.99,0.9992,0.8,0.05,0.8
XGBoost,2000,0.1,53,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9990000000000001,0.8,0.05,1.0
XGBoost,2000,0.1,54,4.0,,,,100,0.99,0.99,0.99,0.99,0.9991,0.8,0.1,0.8
XGBoost,2000,0.1,55,4.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9993,0.8,0.1,1.0
XGBoost,2000,0.1,56,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9990999999999999,0.8,0.1,0.8
XGBoost,2000,0.1,57,4.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992,0.8,0.1,1.0
XGBoost,2000,0.1,58,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9993,0.8,0.1,0.8
XGBoost,2000,0.1,59,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,0.8,0.1,1.0
XGBoost,2000,0.1,60,6.0,,,,100,0.99,0.99,0.99,0.99,0.9991000000000001,0.8,0.1,0.8
XGBoost,2000,0.1,61,6.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.999,0.8,0.1,1.0
XGBoost,2000,0.1,62,6.0,,,,200,0.99,0.99,0.99,0.99,0.9991,0.8,0.1,0.8
XGBoost,2000,0.1,63,6.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991000000000001,0.8,0.1,1.0
XGBoost,2000,0.1,64,6.0,,,,300,0.99,0.99,0.99,0.99,0.9993000000000001,0.8,0.1,0.8
XGBoost,2000,0.1,65,6.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991000000000001,0.8,0.1,1.0
XGBoost,2000,0.1,66,8.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,0.8,0.1,0.8
XGBoost,2000,0.1,67,8.0,,,,100,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992,0.8,0.1,1.0
XGBoost,2000,0.1,68,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991000000000001,0.8,0.1,0.8
XGBoost,2000,0.1,69,8.0,,,,200,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,0.8,0.1,1.0
XGBoost,2000,0.1,70,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9992000000000001,0.8,0.1,0.8
XGBoost,2000,0.1,71,8.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9991,0.8,0.1,1.0
XGBoost,2000,0.1,72,4.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.05,0.8
XGBoost,2000,0.1,73,4.0,,,,100,0.99,0.99,0.99,0.99,0.999,1.0,0.05,1.0
XGBoost,2000,0.1,74,4.0,,,,200,0.99,0.99,0.99,0.99,0.9992999999999999,1.0,0.05,0.8
XGBoost,2000,0.1,75,4.0,,,,200,0.99,0.99,0.99,0.99,0.9991,1.0,0.05,1.0
XGBoost,2000,0.1,76,4.0,,,,300,0.99,0.99,0.99,0.99,0.9991999999999999,1.0,0.05,0.8
XGBoost,2000,0.1,77,4.0,,,,300,0.995,0.9900990099009901,1.0,0.9950248756218906,0.9989999999999999,1.0,0.05,1.0
XGBoost,2000,0.1,78,6.0,,,,100,0.99,0.99,0.99,0.99,0.9989,1.0,0.05,0.8
XGBoost,2000,0.1,79,6.0,,,,100,0.99,0.99,0.99,0.99,0.9989,1.0,0.05,1.0
